"towntype_Pullman","saledate","revenue","tot_items","avg_price_peritem","perc.cart_oil","perc.hash_kief","perc.wax_shatter_dab_resin","perc.uncategorized"
"Pullman",2015-08-29,3811.9565,86,44.3250755813954,0.232558139534884,0.0465116279069767,0.674418604651163,0.0465116279069767
"Pullman",2015-08-30,2308.1349,53,43.5497150943396,0.188679245283019,0,0.773584905660377,0
"Pullman",2015-08-31,2396.5684,52,46.0878538461538,0.134615384615385,0.0384615384615385,0.692307692307692,0.134615384615385
"Pullman",2015-09-01,3460.757,66,52.4357121212121,0.242424242424242,0.0454545454545455,0.651515151515151,0.0606060606060606
"Pullman",2015-09-02,4011.7025,78,51.4320833333333,0.269230769230769,0.0256410256410256,0.461538461538462,0.217948717948718
"Pullman",2015-09-03,3524.8045,83,42.4675240963855,0.180722891566265,0.0120481927710843,0.72289156626506,0.0843373493975904
"Pullman",2015-09-04,4606.1592,89,51.754597752809,0.303370786516854,0.0112359550561798,0.51685393258427,0.168539325842697
"Pullman",2015-09-05,4988.3207,110,45.34837,0.163636363636364,0.0181818181818182,0.754545454545455,0.0636363636363636
"Pullman",2015-09-06,2689.4333,60,44.8238883333333,0.2,0.05,0.733333333333333,0.0166666666666667
"Pullman",2015-09-07,577.1536,14,41.2252571428572,0.0714285714285714,0,0.928571428571429,0
"Pullman",2015-09-08,4083.3809,96,42.5352177083333,0.09375,0.0208333333333333,0.84375,0.03125
"Pullman",2015-09-09,4101.4101,92,44.5805445652174,0.239130434782609,0.0434782608695652,0.673913043478261,0.0434782608695652
"Pullman",2015-09-10,3330.4426,82,40.6151536585366,0.146341463414634,0,0.829268292682927,0.024390243902439
"Pullman",2015-09-11,4446.7597,91,48.8654912087912,0.175824175824176,0,0.681318681318681,0.10989010989011
"Pullman",2015-09-12,3119.9421,69,45.216552173913,0.188405797101449,0.0289855072463768,0.391304347826087,0.347826086956522
"Pullman",2015-09-13,4060.8033,93,43.6645516129032,0.225806451612903,0.010752688172043,0.602150537634409,0.161290322580645
"Pullman",2015-09-14,2883.6582,58,49.7182448275862,0.327586206896552,0.0172413793103448,0.482758620689655,0.172413793103448
"Pullman",2015-09-15,4043.0892,81,49.9146814814815,0.259259259259259,0.0123456790123457,0.506172839506173,0.222222222222222
"Pullman",2015-09-16,3154.9867,75,42.0664893333333,0.146666666666667,0,0.76,0.0933333333333333
"Pullman",2015-09-17,2937.7184,58,50.6503172413793,0.293103448275862,0.0172413793103448,0.482758620689655,0.206896551724138
"Pullman",2015-09-18,3677.3266,81,45.3990938271605,0.246913580246914,0.0123456790123457,0.567901234567901,0.172839506172839
"Pullman",2015-09-19,4572.5668,90,50.8062977777778,0.177777777777778,0.0555555555555556,0.7,0.0666666666666667
"Pullman",2015-09-20,2123.1164,47,45.1726893617021,0.0638297872340425,0.0638297872340425,0.574468085106383,0.297872340425532
"Pullman",2015-09-21,2347.4402,52,45.1430807692308,0.211538461538462,0.0384615384615385,0.557692307692308,0.192307692307692
"Pullman",2015-09-22,2412.2001,54,44.6703722222222,0.185185185185185,0.0555555555555556,0.648148148148148,0.111111111111111
"Pullman",2015-09-23,2606.9867,62,42.0481725806452,0.193548387096774,0,0.741935483870968,0.0483870967741935
"Pullman",2015-09-24,3485.0471,74,47.0952310810811,0.297297297297297,0,0.581081081081081,0.121621621621622
"Pullman",2015-09-25,3348.4033,66,50.7333833333333,0.303030303030303,0.0151515151515152,0.53030303030303,0.136363636363636
"Pullman",2015-09-26,4901.1065,101,48.5258069306931,0.247524752475248,0.0099009900990099,0.633663366336634,0.108910891089109
"Pullman",2015-09-27,3097.707,70,44.2529571428571,0.185714285714286,0.0142857142857143,0.614285714285714,0.171428571428571
