"towntype","saledate","tot_items","perc_cartridge","perc_oil","perc_hash_kief","perc_wax_shatter_resin","perc_uncategorized"
"Airway Heights",2015-09-25,26,0.115384615384615,0,0.0384615384615385,0.769230769230769,0.0769230769230769
"Airway Heights",2015-09-26,49,0.122448979591837,0,0.102040816326531,0.755102040816326,0.0204081632653061
"Airway Heights",2015-09-27,36,0.138888888888889,0,0.0833333333333333,0.666666666666667,0.111111111111111
"Airway Heights",2015-09-28,10,0.3,0,0.2,0.5,0
"Airway Heights",2015-09-29,32,0.15625,0,0.125,0.71875,0
"Airway Heights",2015-09-30,16,0.3125,0,0,0.6875,0
"Airway Heights",2015-10-01,60,0.2,0,0.0166666666666667,0.6,0.183333333333333
"Airway Heights",2015-10-02,45,0.288888888888889,0,0.0666666666666667,0.577777777777778,0.0666666666666667
"Airway Heights",2015-10-03,48,0.125,0,0.0416666666666667,0.645833333333333,0.1875
"Airway Heights",2015-10-04,39,0.128205128205128,0,0.0256410256410256,0.794871794871795,0.0512820512820513
"Airway Heights",2015-10-05,14,0.142857142857143,0,0,0.642857142857143,0.214285714285714
"Airway Heights",2015-10-06,38,0,0,0,0.684210526315789,0.315789473684211
"Airway Heights",2015-10-07,28,0.107142857142857,0,0,0.75,0.142857142857143
"Airway Heights",2015-10-08,32,0.0625,0,0,0.6875,0.25
"Airway Heights",2015-10-09,40,0.25,0,0.05,0.35,0.35
"Airway Heights",2015-10-10,52,0.173076923076923,0,0,0.634615384615385,0.192307692307692
"Airway Heights",2015-10-11,52,0.192307692307692,0,0.0192307692307692,0.711538461538462,0.0769230769230769
"Airway Heights",2015-10-12,20,0.1,0,0,0.85,0.05
"Airway Heights",2015-10-13,16,0.25,0,0,0.6875,0.0625
"Airway Heights",2015-10-14,30,0.1,0,0.166666666666667,0.566666666666667,0.166666666666667
"Airway Heights",2015-10-15,20,0.2,0,0.05,0.65,0.1
"Airway Heights",2015-10-16,38,0.131578947368421,0,0.105263157894737,0.578947368421053,0.184210526315789
"Airway Heights",2015-10-17,49,0.102040816326531,0,0,0.816326530612245,0.0816326530612245
"Airway Heights",2015-10-18,28,0.142857142857143,0,0.107142857142857,0.535714285714286,0.214285714285714
"Airway Heights",2015-10-19,17,0.176470588235294,0,0,0.823529411764706,0
"Airway Heights",2015-10-20,23,0.173913043478261,0,0,0.782608695652174,0.0434782608695652
"Airway Heights",2015-10-21,35,0.2,0,0.0285714285714286,0.657142857142857,0.114285714285714
"Airway Heights",2015-10-22,26,0.0769230769230769,0,0,0.884615384615385,0.0384615384615385
"Airway Heights",2015-10-23,24,0.166666666666667,0,0.0416666666666667,0.708333333333333,0.0833333333333333
"Airway Heights",2015-10-24,65,0.169230769230769,0,0.0153846153846154,0.784615384615385,0.0307692307692308
"Airway Heights",2015-10-25,28,0.25,0,0.0357142857142857,0.678571428571429,0.0357142857142857
"Airway Heights",2015-10-26,26,0.115384615384615,0,0,0.730769230769231,0.153846153846154
"Airway Heights",2015-10-27,34,0.147058823529412,0,0,0.794117647058823,0.0588235294117647
"Airway Heights",2015-10-28,24,0.333333333333333,0,0.0833333333333333,0.583333333333333,0
"Airway Heights",2015-10-29,29,0.241379310344828,0,0.0689655172413793,0.620689655172414,0.0689655172413793
"Airway Heights",2015-10-30,64,0.0625,0,0.203125,0.625,0.109375
"Airway Heights",2015-10-31,68,0.220588235294118,0,0.102941176470588,0.573529411764706,0.102941176470588
"Airway Heights",2015-11-01,31,0.0645161290322581,0,0.0645161290322581,0.806451612903226,0.0645161290322581
"Airway Heights",2015-11-02,17,0.352941176470588,0,0,0.588235294117647,0.0588235294117647
"Airway Heights",2015-11-03,47,0.170212765957447,0,0.127659574468085,0.617021276595745,0.0851063829787234
"Airway Heights",2015-11-04,28,0.142857142857143,0,0,0.75,0.107142857142857
"Airway Heights",2015-11-05,31,0.225806451612903,0,0,0.645161290322581,0.129032258064516
"Airway Heights",2015-11-06,41,0.268292682926829,0,0,0.390243902439024,0.341463414634146
"Airway Heights",2015-11-07,39,0.0512820512820513,0,0.0256410256410256,0.743589743589744,0.179487179487179
"Airway Heights",2015-11-08,31,0.0645161290322581,0,0.032258064516129,0.612903225806452,0.290322580645161
"Airway Heights",2015-11-09,12,0.25,0,0,0.583333333333333,0.166666666666667
"Airway Heights",2015-11-10,36,0.111111111111111,0,0.0833333333333333,0.638888888888889,0.166666666666667
"Airway Heights",2015-11-11,29,0.103448275862069,0,0.0689655172413793,0.551724137931034,0.275862068965517
"Airway Heights",2015-11-12,23,0.217391304347826,0,0,0.521739130434783,0.260869565217391
"Airway Heights",2015-11-13,24,0.291666666666667,0,0,0.583333333333333,0.125
"Airway Heights",2015-11-14,37,0.297297297297297,0,0.0540540540540541,0.540540540540541,0.108108108108108
"Airway Heights",2015-11-15,32,0.3125,0,0.0625,0.5625,0.0625
"Airway Heights",2015-11-16,14,0.142857142857143,0,0,0.642857142857143,0.214285714285714
"Airway Heights",2015-11-17,23,0.130434782608696,0,0,0.652173913043478,0.217391304347826
"Airway Heights",2015-11-18,4,0.25,0,0,0.75,0
"Airway Heights",2015-11-19,18,0.277777777777778,0,0.0555555555555556,0.5,0.166666666666667
"Airway Heights",2015-11-20,28,0.107142857142857,0,0,0.607142857142857,0.285714285714286
"Airway Heights",2015-11-21,55,0.218181818181818,0,0.0363636363636364,0.636363636363636,0.109090909090909
"Airway Heights",2015-11-22,28,0.178571428571429,0,0,0.785714285714286,0.0357142857142857
"Airway Heights",2015-11-23,16,0.5,0,0,0.4375,0.0625
"Airway Heights",2015-11-24,41,0.414634146341463,0,0.0487804878048781,0.48780487804878,0.0487804878048781
"Airway Heights",2015-11-25,40,0.425,0,0.075,0.4,0.1
"Airway Heights",2015-11-26,36,0.111111111111111,0,0.0277777777777778,0.611111111111111,0.25
"Airway Heights",2015-11-27,71,0.0563380281690141,0,0.028169014084507,0.859154929577465,0.0563380281690141
"Airway Heights",2015-11-28,56,0.0357142857142857,0,0.0178571428571429,0.839285714285714,0.107142857142857
"Airway Heights",2015-11-29,34,0.176470588235294,0,0,0.676470588235294,0.147058823529412
"Airway Heights",2015-11-30,18,0.111111111111111,0,0.111111111111111,0.777777777777778,0
"Airway Heights",2015-12-01,55,0.127272727272727,0,0.0909090909090909,0.690909090909091,0.0909090909090909
"Airway Heights",2015-12-02,47,0.0425531914893617,0,0.148936170212766,0.680851063829787,0.127659574468085
"Airway Heights",2015-12-03,34,0.205882352941176,0,0.117647058823529,0.558823529411765,0.117647058823529
"Airway Heights",2015-12-04,34,0.147058823529412,0,0.117647058823529,0.558823529411765,0.176470588235294
"Airway Heights",2015-12-05,39,0.205128205128205,0,0.153846153846154,0.564102564102564,0.0769230769230769
"Airway Heights",2015-12-06,37,0.189189189189189,0,0.162162162162162,0.540540540540541,0.108108108108108
"Airway Heights",2015-12-07,25,0.12,0,0.08,0.68,0.12
"Airway Heights",2015-12-08,37,0.216216216216216,0,0.0810810810810811,0.513513513513513,0.189189189189189
"Airway Heights",2015-12-09,32,0.46875,0,0.0625,0.34375,0.125
"Airway Heights",2015-12-10,36,0.0555555555555556,0,0.0833333333333333,0.527777777777778,0.333333333333333
"Airway Heights",2015-12-11,32,0.125,0,0.15625,0.65625,0.0625
"Airway Heights",2015-12-12,53,0.283018867924528,0,0.0754716981132075,0.622641509433962,0.0188679245283019
"Airway Heights",2015-12-13,35,0.142857142857143,0,0,0.8,0.0571428571428571
"Airway Heights",2015-12-14,16,0.25,0,0.0625,0.6875,0
"Airway Heights",2015-12-15,27,0.0740740740740741,0,0.0740740740740741,0.740740740740741,0.111111111111111
"Airway Heights",2015-12-16,28,0.0714285714285714,0,0.0714285714285714,0.821428571428571,0.0357142857142857
"Airway Heights",2015-12-17,28,0.107142857142857,0,0.178571428571429,0.642857142857143,0.0714285714285714
"Airway Heights",2015-12-18,35,0.228571428571429,0,0.0571428571428571,0.6,0.114285714285714
"Airway Heights",2015-12-19,45,0.222222222222222,0,0.133333333333333,0.644444444444444,0
"Airway Heights",2015-12-20,44,0.159090909090909,0,0.0454545454545455,0.795454545454545,0
"Airway Heights",2015-12-21,16,0.0625,0,0.0625,0.875,0
"Airway Heights",2015-12-22,35,0.171428571428571,0,0.142857142857143,0.685714285714286,0
