"towntype","saledate","revenue","tot_items","avg_price_peritem","perc_usable","perc_extract","perc_edible","perc_other"
"NCNU",2015-11-21,997256.18551,37176,26.8252686009791,0.77041639767592,0.109183344092963,0.0922369270497095,0.0281633311814074
"Pullman",2015-11-21,31090.6841,967,32.1516898655636,0.675284384694933,0.110651499482937,0.141675284384695,0.0723888314374354
"Ellensburg",2015-11-21,16852.644,721,23.3739861303745,0.768377253814147,0.128987517337032,0.0776699029126214,0.0249653259361997
"Airway Heights",2015-11-21,8753.1218,379,23.0953081794195,0.794195250659631,0.145118733509235,0.0606860158311346,0
NA,2015-11-21,94.7355,5,18.9471,1,0,0,0
"Urban",2015-11-22,846806.165711,34095,24.8366671274674,0.734858483648629,0.115764774893679,0.122539961871242,0.0268367795864496
"NCNU",2015-11-22,722611.85807,28507,25.3485760714912,0.777177535342197,0.10362367137896,0.0896621882344687,0.0295366050443751
"Pullman",2015-11-22,17092.7639,585,29.2183998290598,0.731623931623932,0.116239316239316,0.0854700854700855,0.0666666666666667
"Ellensburg",2015-11-22,11641.2188,572,20.3517811188811,0.729020979020979,0.157342657342657,0.0821678321678322,0.0314685314685315
"Airway Heights",2015-11-22,6085.8825,212,28.7069929245283,0.792452830188679,0.132075471698113,0.0754716981132075,0
NA,2015-11-22,127.9032,4,31.9758,1,0,0,0
"Urban",2015-11-23,722677.539158,27214,26.5553589754538,0.753325494230911,0.119975012861027,0.102630998750643,0.024068494157419
"NCNU",2015-11-23,598635.02327,23157,25.8511475264499,0.786889493457702,0.110247441378417,0.0799758172474846,0.0228872479163968
"Pullman",2015-11-23,16575.1368,470,35.2662485106383,0.717021276595745,0.123404255319149,0.108510638297872,0.051063829787234
"Ellensburg",2015-11-23,11292.8278,519,21.7588204238921,0.755298651252408,0.129094412331407,0.092485549132948,0.023121387283237
"Airway Heights",2015-11-23,4656.0409,185,25.1677886486487,0.859459459459459,0.0864864864864865,0.0540540540540541,0
NA,2015-11-23,52.1148,1,52.1148,1,0,0,0
"Urban",2015-11-24,844054.696071,31827,26.5200834533886,0.755679140352531,0.117321770823515,0.10601061991391,0.0209884689100449
"NCNU",2015-11-24,714479.55451,28187,25.3478395895271,0.783304360166034,0.111860077340618,0.0805690566573243,0.0242665058360237
