"towntype_Pullman","saledate","revenue","tot_items","avg_price_peritem","perc.cart","perc.oil","perc.hash_kief","perc.wax_shatter_resin","perc.uncategorized"
"Ellensburg",2016-04-24,2881.6854,85,33.9021811764706,0.223529411764706,0.211764705882353,0.0235294117647059,0.223529411764706,0.317647058823529
"Ellensburg",2016-04-25,3872.4831,112,34.5757419642857,0.258928571428571,0.133928571428571,0,0.160714285714286,0.446428571428571
"Ellensburg",2016-04-26,3113.9689,93,33.4835365591398,0.204301075268817,0.150537634408602,0.021505376344086,0.268817204301075,0.354838709677419
"Ellensburg",2016-04-27,3279.2594,103,31.8374699029126,0.203883495145631,0.16504854368932,0.00970873786407767,0.242718446601942,0.378640776699029
"Ellensburg",2016-04-28,3285.6573,96,34.225596875,0.177083333333333,0.25,0.0208333333333333,0.125,0.427083333333333
"Ellensburg",2016-04-29,4139.6879,123,33.6559991869919,0.235772357723577,0.0975609756097561,0,0.260162601626016,0.40650406504065
"Ellensburg",2016-04-30,4550.318,133,34.2129172932331,0.24812030075188,0.210526315789474,0.0075187969924812,0.18796992481203,0.345864661654135
"Ellensburg",2016-05-01,2728.9578,81,33.690837037037,0.209876543209877,0.160493827160494,0.0246913580246914,0.222222222222222,0.382716049382716
"Ellensburg",2016-05-02,3081.541,98,31.4442959183673,0.183673469387755,0.0714285714285714,0,0.326530612244898,0.418367346938776
"Ellensburg",2016-05-03,3103.2281,90,34.4803122222222,0.244444444444444,0.111111111111111,0.0111111111111111,0.211111111111111,0.422222222222222
"Ellensburg",2016-05-04,2814.9116,89,31.6282202247191,0.123595505617978,0.191011235955056,0,0.292134831460674,0.393258426966292
"Ellensburg",2016-05-05,4129.3992,122,33.8475344262295,0.254098360655738,0.180327868852459,0.00819672131147541,0.204918032786885,0.352459016393443
"Ellensburg",2016-05-06,3670.0656,112,32.7684428571429,0.285714285714286,0.133928571428571,0.0357142857142857,0.267857142857143,0.276785714285714
"Ellensburg",2016-05-07,4124.0014,117,35.2478752136752,0.264957264957265,0.136752136752137,0.0170940170940171,0.307692307692308,0.273504273504274
"Ellensburg",2016-05-08,3241.831,100,32.41831,0.19,0.1,0.01,0.32,0.38
"Ellensburg",2016-05-09,4654.2873,134,34.7334873134328,0.149253731343284,0.171641791044776,0.0149253731343284,0.253731343283582,0.41044776119403
"Ellensburg",2016-05-10,3514.5843,113,31.1025159292035,0.230088495575221,0.132743362831858,0,0.283185840707965,0.353982300884956
"Ellensburg",2016-05-11,3479.5945,108,32.2184675925926,0.175925925925926,0.0925925925925926,0.00925925925925926,0.277777777777778,0.444444444444444
"Ellensburg",2016-05-12,2828.7212,85,33.2790729411765,0.176470588235294,0.141176470588235,0,0.235294117647059,0.447058823529412
"Ellensburg",2016-05-13,4358.381,132,33.0180378787879,0.196969696969697,0.136363636363636,0.00757575757575758,0.310606060606061,0.348484848484849
"Ellensburg",2016-05-14,3495.9797,105,33.2950447619048,0.19047619047619,0.219047619047619,0,0.314285714285714,0.276190476190476
"Ellensburg",2016-05-15,2794.0465,84,33.2624583333333,0.178571428571429,0.0714285714285714,0.0476190476190476,0.380952380952381,0.321428571428571
"Ellensburg",2016-05-16,4349.8596,125,34.7988768,0.192,0.04,0.016,0.36,0.392
"Ellensburg",2016-05-17,3247.4206,91,35.6859406593407,0.230769230769231,0.0659340659340659,0.021978021978022,0.351648351648352,0.32967032967033
"Ellensburg",2016-05-18,3638.8844,111,32.7827423423423,0.207207207207207,0.0720720720720721,0.018018018018018,0.387387387387387,0.315315315315315
"Ellensburg",2016-05-19,3559.2874,101,35.2404693069307,0.267326732673267,0.148514851485149,0.0099009900990099,0.405940594059406,0.168316831683168
"Ellensburg",2016-05-20,5263.7455,150,35.0916366666667,0.206666666666667,0.0933333333333333,0.02,0.506666666666667,0.173333333333333
"Ellensburg",2016-05-21,3840.0278,114,33.6844543859649,0.12280701754386,0.140350877192982,0.0087719298245614,0.570175438596491,0.157894736842105
"Ellensburg",2016-05-22,3437.1793,102,33.6978362745098,0.186274509803922,0.156862745098039,0.0294117647058824,0.431372549019608,0.196078431372549
"Ellensburg",2016-05-23,2972.489,86,34.5638255813954,0.255813953488372,0.186046511627907,0.0116279069767442,0.244186046511628,0.302325581395349
"Ellensburg",2016-05-24,2637.6336,76,34.7057052631579,0.236842105263158,0.184210526315789,0,0.394736842105263,0.184210526315789
"Ellensburg",2016-05-25,3357.4179,91,36.8947021978022,0.285714285714286,0.153846153846154,0,0.351648351648352,0.208791208791209
"Ellensburg",2016-05-26,3978.0279,127,31.3230543307087,0.21259842519685,0.125984251968504,0.015748031496063,0.354330708661417,0.291338582677165
"Ellensburg",2016-05-27,5731.2854,158,36.2739582278481,0.284810126582278,0.0886075949367089,0.0316455696202532,0.234177215189873,0.360759493670886
"Ellensburg",2016-05-28,3986.7274,111,35.9164630630631,0.351351351351351,0.0630630630630631,0.045045045045045,0.306306306306306,0.234234234234234
"Ellensburg",2016-05-29,3522.6673,105,33.5492123809524,0.171428571428571,0.0571428571428571,0.0476190476190476,0.285714285714286,0.438095238095238
"Ellensburg",2016-05-30,3814.9294,117,32.6062341880342,0.170940170940171,0.0598290598290598,0.0256410256410256,0.316239316239316,0.427350427350427
"Ellensburg",2016-05-31,3347.3347,99,33.8114616161616,0.343434343434343,0.0404040404040404,0.0101010101010101,0.313131313131313,0.292929292929293
"Ellensburg",2016-06-01,3172.1528,97,32.702606185567,0.175257731958763,0.0515463917525773,0.0515463917525773,0.391752577319588,0.329896907216495
"Ellensburg",2016-06-02,4003.0578,116,34.5091189655172,0.198275862068966,0.0258620689655172,0.0344827586206897,0.336206896551724,0.405172413793103
"Ellensburg",2016-06-03,4911.998,143,34.3496363636364,0.167832167832168,0.0769230769230769,0.0629370629370629,0.293706293706294,0.398601398601399
"Ellensburg",2016-06-04,4609.8445,135,34.1469962962963,0.17037037037037,0.111111111111111,0.0148148148148148,0.355555555555556,0.348148148148148
"Ellensburg",2016-06-05,3262.6961,101,32.3039217821782,0.148514851485149,0.099009900990099,0.0099009900990099,0.297029702970297,0.445544554455446
"Ellensburg",2016-06-06,2917.2095,91,32.0572472527473,0.142857142857143,0.043956043956044,0.032967032967033,0.263736263736264,0.516483516483517
"Ellensburg",2016-06-07,3367.9806,111,30.3421675675676,0.153153153153153,0.045045045045045,0.045045045045045,0.315315315315315,0.441441441441441
"Ellensburg",2016-06-08,3449.3449,121,28.5069826446281,0.289256198347107,0.0413223140495868,0.0330578512396694,0.256198347107438,0.380165289256198
"Ellensburg",2016-06-09,3844.9187,127,30.2749503937008,0.251968503937008,0.0393700787401575,0.0078740157480315,0.244094488188976,0.456692913385827
"Ellensburg",2016-06-10,4233.2726,148,28.6031932432432,0.304054054054054,0.0202702702702703,0.0540540540540541,0.25,0.371621621621622
"Ellensburg",2016-06-11,4870.7336,167,29.1660694610778,0.377245508982036,0.029940119760479,0.0179640718562874,0.203592814371257,0.37125748502994
"Ellensburg",2016-06-12,4220.4905,126,33.4959563492064,0.246031746031746,0.206349206349206,0.0476190476190476,0.285714285714286,0.214285714285714
"Ellensburg",2016-06-13,2851.4358,86,33.1562302325581,0.174418604651163,0.151162790697674,0.0348837209302326,0.302325581395349,0.337209302325581
"Ellensburg",2016-06-14,3345.4304,99,33.7922262626263,0.121212121212121,0.181818181818182,0.0505050505050505,0.333333333333333,0.313131313131313
"Ellensburg",2016-06-15,3803.0515,119,31.9584159663866,0.218487394957983,0.100840336134454,0.0336134453781513,0.336134453781513,0.310924369747899
"Ellensburg",2016-06-16,3729.9894,116,32.1550810344828,0.163793103448276,0.0775862068965517,0.0258620689655172,0.353448275862069,0.379310344827586
"Ellensburg",2016-06-17,5389.5389,164,32.8630420731707,0.219512195121951,0.158536585365854,0.0121951219512195,0.304878048780488,0.304878048780488
"Ellensburg",2016-06-18,3959.1356,115,34.4272660869565,0.191304347826087,0.2,0.0434782608695652,0.243478260869565,0.321739130434783
"Ellensburg",2016-06-19,4093.7929,126,32.4904198412698,0.214285714285714,0.174603174603175,0.0317460317460317,0.30952380952381,0.26984126984127
"Ellensburg",2016-06-20,3700.6851,114,32.46215,0.166666666666667,0.114035087719298,0.0263157894736842,0.359649122807018,0.333333333333333
